"Retailer","Alamat","Area","Telepon","Fax"
"HPM Panakukang","Mall Panakukang, Jl. Bulevar Mall Panakukang Mas , Ged. C, Panakukang, Makasar","0411","4662021 4662036","8881465"
"HPM GTC Makassar","GTC MALL MAKASSAR Jl. Metro Tanjung Bunga Makassar 90224","0411","8114180 8114182 8114084","8819489"
"HPM Manado","Manado Town Square, Pierre Tendean Boulevard, Manado","0431","8881488 8881482","-"
"HPM MTC Manado","MTC Manado, Kawasan Mega Mas Boulevard, Jl. Pierre Tendean","0431","8819488 8819489","-"
"HPM Gorontalo","HPM Gorontalo, Jl. Sultan Batutihe No. 8, Gorontalo","0435","822242","-"
"HPM Kendari","HPM Kendari, Jl. MT Haryono No.61-63, RT.23/RT.05, Eks. Gedung Pramuka Kel. Bende, Kec. Kadia, Kendari, Sulawesi Tenggara","-","-","-"
"HPM Palopo","City Market Palopo, Jl. Sam Ratulangi, Palopo, Sulawesi Tengah","-","-","-"
