"Mall","Alamat","Area","Telepon","Fax"
"Sun Plaza","Jl. Zainul Arifin No.7 Medan","","",""
"Plaza Medan Fair","Jl. Jend. Gatot Subroto No.30, Medan 20113","","",""
"Binjai Supermall","Jl. Soekarno Hatta No. 14, Binjai 20731","","",""
"Palembang Square","Jl. Angkatan 45/POM IX, Palembang , Sumatera Selatan","","",""
"Palembang Square eXtension","Jl. Angkatan 45/POM IX, Palembang , Sumatera Selatan","","",""
"Grand Palladium Mall","Jln. Kapt Maulana Lubis N0.8 Petisan Tengah, Medan 20112","","",""
